accuracy,precision_macro,recall_macro,f1_macro,scope,train_set,feature_set,n_features,model,decision,n_train_cycles,n_train_files,loso_file_f1,loso_file_precision,loso_file_recall,loso_subject_mean_f1,loso_subject_std_f1
0.5555555555555556,0.6982570806100218,0.5555555555555556,0.48269967580312406,cycle_to_file,standard_manual_data,stable15_plus_timing,20,KNN5,mean_proba,174,40,0.9569444444444445,0.9607843137254902,0.9583333333333334,0.5846153846153845,0.30173724478678254
0.5555555555555556,0.6982570806100218,0.5555555555555556,0.48269967580312406,cycle_to_file,standard_manual_data,stable15_plus_timing,20,Ridge,majority_vote,174,40,0.9273007590132827,0.9385620915032679,0.9212962962962963,0.5504273504273504,0.31537419203121636
0.5555555555555556,0.6982570806100218,0.5555555555555556,0.48269967580312406,cycle_to_file,standard_manual_data,invariant_synergy,50,SoftVote_LR_SVM_RF,majority_vote,174,40,,,,,
0.4722222222222222,0.6262626262626262,0.47222222222222227,0.48199385155906893,cycle_to_file,data_plus_2_auto,invariant_synergy,50,Ridge,majority_vote,339,74,0.6702709671633089,0.6702330652855389,0.6791125541125541,0.5186067019400352,0.29926227404857736
0.5277777777777778,0.648148148148148,0.5277777777777778,0.4792022792022792,cycle_to_file,data_auto,literature28,28,SoftVote_LR_SVM_RF,mean_proba,295,65,0.7166794445864214,0.7213103254769923,0.7161570593149541,0.5488888888888889,0.2631809216696077
0.5277777777777778,0.48333333333333334,0.5277777777777778,0.4791666666666667,cycle_to_file,standard_manual_data,invariant_synergy,50,LR_C0.03,mean_proba,174,40,,,,,
0.5833333333333334,0.40952380952380957,0.5833333333333334,0.4781144781144781,file_aggregate,data_plus_2_auto,file_agg_stable15,48,FileAgg_LR,file_classifier,339,74,,,,,
0.5277777777777778,0.6549707602339181,0.5277777777777778,0.47675940149058427,cycle_to_file,standard_manual_plus_2_auto,shift_aware_top15,15,RF_shallow,mean_proba,218,49,0.900055568786219,0.9023809523809524,0.9113060428849903,0.5826388888888889,0.3093942895221062
0.5277777777777778,0.6549707602339181,0.5277777777777778,0.47675940149058427,cycle_to_file,standard_manual_plus_2_auto,stable15_plus_timing,20,ExtraTrees_shallow,majority_vote,218,49,,,,,
0.5277777777777778,0.6549707602339181,0.5277777777777778,0.47675940149058427,cycle_to_file,standard_manual_plus_2_auto,stable15,15,RBF_SVM,majority_vote,218,49,,,,,
0.5277777777777778,0.6549707602339181,0.5277777777777778,0.47675940149058427,cycle_to_file,standard_manual_plus_2_auto,stable15,15,KNN5,majority_vote,218,49,,,,,
0.5277777777777778,0.6549707602339181,0.5277777777777778,0.47675940149058427,cycle_to_file,standard_manual_plus_2_auto,stable15,15,KNN5,mean_proba,218,49,0.854090354090354,0.8601190476190478,0.8557504873294347,0.5305555555555556,0.3048603201710823
0.5277777777777778,0.6549707602339181,0.5277777777777778,0.47675940149058427,cycle_to_file,standard_manual_plus_2_auto,stable15,15,RF_shallow,mean_proba,218,49,0.9187605187605188,0.9172932330827068,0.9288499025341131,0.6034722222222222,0.2792107137722068
0.5277777777777778,0.6549707602339181,0.5277777777777778,0.47675940149058427,cycle_to_file,standard_manual_plus_2_auto,stable15_plus_timing,20,RF_shallow,majority_vote,218,49,,,,,
0.5277777777777778,0.6549707602339181,0.5277777777777778,0.47675940149058427,cycle_to_file,standard_manual_plus_2_auto,shift_aware_top15,15,RF_shallow,majority_vote,218,49,,,,,
0.5277777777777778,0.6549707602339181,0.5277777777777778,0.47675940149058427,cycle_to_file,data_plus_2_auto,shift_aware_top15,15,ExtraTrees_shallow,majority_vote,339,74,,,,,
0.5277777777777778,0.6549707602339181,0.5277777777777778,0.47675940149058427,cycle_to_file,standard_manual_plus_2_auto,stable15_plus_timing,20,RF_shallow,mean_proba,218,49,0.900055568786219,0.9023809523809524,0.9113060428849903,0.5826388888888889,0.3093942895221062
0.5277777777777778,0.6549707602339181,0.5277777777777778,0.47675940149058427,cycle_to_file,data_plus_2_auto,shift_aware_top15,15,ExtraTrees_shallow,mean_proba,339,74,0.7034024739191912,0.7229239766081871,0.7119408369408369,0.5419753086419753,0.2883793121016561
0.5277777777777778,0.6549707602339181,0.5277777777777778,0.47675940149058427,cycle_to_file,data_plus_2_auto,stable15,15,ExtraTrees_shallow,majority_vote,339,74,,,,,
0.5277777777777778,0.6549707602339181,0.5277777777777778,0.47675940149058427,cycle_to_file,standard_manual_plus_2_auto,stable15_plus_timing,20,ExtraTrees_shallow,mean_proba,218,49,0.8780492709904474,0.8852258852258853,0.8835282651072124,0.5583333333333333,0.3254270698294439
